Influencer ID,Category,Tiktok Category,Related Influencer ID,Follower Count, Average View Count
shreddedmilitary,Art,Transition|Art,lowcarbstateofmind,5330118,3429261
shreddedmilitary,Art,Transition|Art,theyeeetbaby,4528784,3841208
shreddedmilitary,Art,Transition|Art,pam_a_cake,2105593,2728271
shreddedmilitary,Art,Transition|Art,jeremy_littel,3316007,109876
shreksdumpster,Art,Comedy|Art|Shoes,noeneubanks,10726182,2113687
shreksdumpster,Art,Comedy|Art|Shoes,saraecheagaray,6096513,1866327
shreksdumpster,Art,Comedy|Art|Shoes,thedawndishsoap,2127481,310542
shreksdumpster,Art,Comedy|Art|Shoes,therealtati,5086002,697298
shreksdumpster,Art,Comedy|Art|Shoes,avivasofia,3860563,1028650
shreksdumpster,Art,Comedy|Art|Shoes,maxdressler,4313070,416178
shreksdumpster,Art,Comedy|Art|Shoes,brittany_broski,6272617,1162165
shreksdumpster,Art,Comedy|Art|Shoes,cristiandennis,7325129,501193
shreksdumpster,Art,Comedy|Art|Shoes,soupytime,4669581,2259609
smiztok,Art,Art|Animation_Cartoon,korean.kornfarmer,163545,12096
smiztok,Art,Art|Animation_Cartoon,rickyrick.phd,233875,113661
smiztok,Art,Art|Animation_Cartoon,digitaldarlenne,176477,33002
smiztok,Art,Art|Animation_Cartoon,jenningsmotorsports,203903,3797
smiztok,Art,Art|Animation_Cartoon,thedaxflame,214334,205472
smiztok,Art,Art|Animation_Cartoon,ronni_star,136885,50388
smiztok,Art,Art|Animation_Cartoon,emojimaker003,238619,56378
smiztok,Art,Art|Animation_Cartoon,barebumessentials,290283,14256
smiztok,Art,Art|Animation_Cartoon,usmcdanielgreay,474907,18912
soyluzzo,Art,Art,greywolf.blackfox,124012,1167
soyluzzo,Art,Art,daisymaedoodle,130588,24376
soyluzzo,Art,Art,jammincammy,195067,8317
soyluzzo,Art,Art,svageleo,111197,6963
soyluzzo,Art,Art,jeremiah.taylorr,221783,1292
soyluzzo,Art,Art,sooraj_jkd,1708959,423614
soyluzzo,Art,Art,wiener420,131069,6256
soyluzzo,Art,Art,clubbethguin,208659,990
soyluzzo,Art,Art,apple_shalini_zoyazinta,397404,18444
stickyartchan,Art,Dance|Art,delorcakery,10501,322
stickyartchan,Art,Dance|Art,creative_handz,120778,22270
stickyartchan,Art,Dance|Art,fluffmanjams,277344,2924
stickyartchan,Art,Dance|Art,claybycole,163039,9121
stickyartchan,Art,Dance|Art,makeupguy,145249,1058
stickyartchan,Art,Dance|Art,ocvintagecharm,56984,12915
stickyartchan,Art,Dance|Art,marjan_diaries,81428,35346
stickyartchan,Art,Dance|Art,ibedrawingstuff,138401,36134
stickyartchan,Art,Dance|Art,mk_fercho,72835,4465
sugar.columbia,Art,Food Art_Discovery|Art,shellscookiecreations,145511,68226
sugar.columbia,Art,Food Art_Discovery|Art,reinediy,172927,204524
sugar.columbia,Art,Food Art_Discovery|Art,sooziethefoodie,124352,2308
sugar.columbia,Art,Food Art_Discovery|Art,mr.eats305,61986,2718
sugar.columbia,Art,Food Art_Discovery|Art,cookingwithjustin,99939,3511
sugar.columbia,Art,Food Art_Discovery|Art,cakequeentanya,139848,2840
sugar.columbia,Art,Food Art_Discovery|Art,crazees_icecream,168072,28549
sugar.columbia,Art,Food Art_Discovery|Art,fruit_love_milk,494292,11178
sugar.columbia,Art,Food Art_Discovery|Art,miami_foodporn,196254,4692
tattooobabyyy,Art,Art,ijustwannabeapenguin,307775,159001
tattooobabyyy,Art,Art,klamour_makeup,934828,11959
tattooobabyyy,Art,Art,kays.cafe,113787,13013
tattooobabyyy,Art,Art,caffeinencactuses,289803,16998
tattooobabyyy,Art,Art,southerncharmvibes2019,204862,3457
tattooobabyyy,Art,Art,bailykae,189946,2267
tattooobabyyy,Art,Art,lilscribs,208457,216260
tattooobabyyy,Art,Art,gageboardman,133351,75831
tattooobabyyy,Art,Art,nycdom,204188,5239
theendoftheinternet,Art,Hair|Art,heymaryjean,101779,5882
theendoftheinternet,Art,Hair|Art,stephies_art,170949,80606
theendoftheinternet,Art,Hair|Art,rkcartistry,32904,1297
theendoftheinternet,Art,Hair|Art,krismile_wig,322366,14866
theendoftheinternet,Art,Hair|Art,nun.precious,198802,229287
theendoftheinternet,Art,Hair|Art,muagiss,214518,99400
theendoftheinternet,Art,Hair|Art,jaanethmorra,152544,10458
theendoftheinternet,Art,Hair|Art,_mariaa.elenaa_,121996,3337
theendoftheinternet,Art,Hair|Art,number_one_dad,169407,19670
tiannalasagna,Art,Art,mrsaintvon,546743,149407
tiannalasagna,Art,Art,valerieespino.arts,920223,62481
tiannalasagna,Art,Art,tatepham,500189,53819
tiannalasagna,Art,Art,hollyfae_art,572351,12345
